source_sitemap,source_url,status,target,locale,reason
"product-sitemap.xml","https://www.petroni.hr/proizvod/rucka-vrata-elementa-namjestaja-v433-genesis-st/","308","/product/rucka-vrata-elementa-namjestaja-v433-genesis-st","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/bravica-za-vrata-sa-2-kljuca-fap/","308","/product/bravica-za-vrata-sa-2-kljuca-fap-bijela","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/panti-vrata-nadogradnje-61x200253x70-ral9010/","308","/product/panti-vrata-nadogradnje-61x200-2-53x70-ral9010","",""
"product-sitemap.xml","https://www.petroni.hr/en/product/panti-vrata-nadogradnje-61x200253x70-ral9010/","308","/product/panti-vrata-nadogradnje-61x200-2-53x70-ral9010?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/panti-vrata-nadogradnje-45x2061x4553cm/","308","/product/panti-vrata-nadogradnje-4-5x20-6-1-x4-5-5-3cm","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/rucica-vrata-namjestaja-v564/","308","/product/rucica-vrata-namjestaja-v564","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/odzracnik-lufter-fi-60-bijeli/","308","/product/odzracnik-lufter-fi-60-bijeli","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/odzracnik-lufter-fi-80-bijeli/","308","/product/odzracnik-lufter-fi-80-bijeli","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/odzracnik-lufter-fi-100-bijeli/","308","/product/odzracnik-lufter-fi-100-bijeli","",""
"product-sitemap.xml","https://www.petroni.hr/en/product/tekucina-za-ciscenje-tendi-suncobrana-i-plasticnih-krovnih-ploca-500ml/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/tekucina-za-ciscenje-rashladnih-i-grijanih-vitrina-innolab-pro-500ml/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/tekucina-za-sjaj-i-zastitu-plastike-kokpit-emulzija-innolab-pro-5-lit/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/tekucina-za-sjaj-i-zastitu-plastike-kokpit-emulzija-innolab-pro-500ml/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/tekucina-za-uklanjanje-silikona-i-svjeze-pur-pjene-innolab-pro-750ml/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/tekucina-za-uklanjanje-musica-sa-vozila-innolab-pro-5-lit/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/tekucina-za-skidanje-hrde-innolab-pro-5-lit/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/tekucina-za-ciscenje-kupaonica-pipa-i-tuseva-innolab-pro-5lit/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/proizvod/tekucina-za-ciscenje-stakla-innolab-pro-5-lit/","308","/product/tekucina-za-ciscenje-stakla-innolab-pro-5-lit","",""
"product-sitemap.xml","https://www.petroni.hr/en/product/tekucina-za-ciscenje-stakla-innolab-pro-5-lit/","308","/product/tekucina-za-ciscenje-stakla-innolab-pro-5-lit?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/en/product/prozor-krovni-dometic-micro-heki-280x280/","308","/product/prozor-krovni-dometic-micro-heki-28x28?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/prozor-krovni-dometic-micro-heki-280x280/","308","/product/prozor-krovni-dometic-micro-heki-28x28","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/kukica-za-zavjese-prozirna/","308","/product/kukica-za-zavjese-prozirna","",""
